,time,open,high,low,close,volume
27,2023-03-16 02:57:00,1652.26,1652.26,1649.39,1649.75,5737.67
28,2023-03-16 03:00:00,1649.76,1650.86,1649.24,1650.44,4499.937
29,2023-03-16 03:03:00,1650.44,1650.44,1647.13,1647.75,6097.954
30,2023-03-16 03:06:00,1647.75,1648.59,1645.3,1648.59,5530.763
31,2023-03-16 03:09:00,1648.58,1648.59,1643.51,1643.65,4369.961
32,2023-03-16 03:12:00,1643.65,1644.54,1641.76,1642.07,7449.791
33,2023-03-16 03:15:00,1642.07,1643.69,1641.03,1642.57,7036.463
34,2023-03-16 03:18:00,1642.57,1644.37,1642.48,1644.02,2615.021
35,2023-03-16 03:21:00,1644.02,1646.7,1644.02,1645.87,4554.175
36,2023-03-16 03:24:00,1645.88,1646.51,1644.13,1644.13,3071.159
37,2023-03-16 03:27:00,1644.13,1646.89,1643.12,1646.13,8919.639
38,2023-03-16 03:30:00,1646.13,1646.49,1644.62,1646.31,3760.089
39,2023-03-16 03:33:00,1646.32,1646.32,1643.82,1643.82,1765.675
40,2023-03-16 03:36:00,1643.83,1644.11,1641.8,1642.05,8970.391
41,2023-03-16 03:39:00,1642.05,1643.54,1641.43,1642.99,4309.386
42,2023-03-16 03:42:00,1643.0,1644.28,1642.37,1642.37,5341.632
43,2023-03-16 03:45:00,1642.38,1643.17,1642.0,1642.21,2452.719
44,2023-03-16 03:48:00,1642.21,1643.22,1641.2,1643.03,4505.148
45,2023-03-16 03:51:00,1643.04,1643.59,1642.58,1643.34,2157.026
46,2023-03-16 03:54:00,1643.34,1644.76,1641.56,1644.64,3319.307
47,2023-03-16 03:57:00,1644.65,1646.73,1644.64,1645.67,7081.272
48,2023-03-16 04:00:00,1645.67,1646.73,1642.64,1642.65,8996.528
49,2023-03-16 04:03:00,1642.65,1642.9,1641.18,1642.06,5148.519
50,2023-03-16 04:06:00,1642.05,1647.24,1641.46,1646.55,8727.928
51,2023-03-16 04:09:00,1646.55,1647.98,1645.13,1645.14,6636.67
52,2023-03-16 04:12:00,1645.13,1645.36,1643.36,1643.61,5230.811
53,2023-03-16 04:15:00,1643.61,1643.8,1641.02,1641.9,7061.627
54,2023-03-16 04:18:00,1641.9,1643.54,1641.39,1641.94,3703.066
55,2023-03-16 04:21:00,1641.94,1643.17,1641.14,1641.91,3668.677
56,2023-03-16 04:24:00,1641.91,1645.26,1641.7,1645.12,2825.872
57,2023-03-16 04:27:00,1645.12,1645.44,1644.22,1644.36,3460.181
58,2023-03-16 04:30:00,1644.36,1644.36,1642.58,1642.78,2933.01
59,2023-03-16 04:33:00,1642.78,1642.78,1640.42,1641.09,5693.689
60,2023-03-16 04:36:00,1641.09,1642.12,1639.01,1639.42,8541.481
61,2023-03-16 04:39:00,1639.43,1640.79,1638.62,1640.35,5217.662
62,2023-03-16 04:42:00,1640.35,1640.36,1637.3,1638.53,8212.524
63,2023-03-16 04:45:00,1638.53,1640.72,1637.15,1639.88,5385.049
64,2023-03-16 04:48:00,1639.89,1640.24,1638.06,1638.85,4210.794
65,2023-03-16 04:51:00,1638.85,1639.0,1636.3,1637.33,5194.705
66,2023-03-16 04:54:00,1637.33,1638.33,1636.77,1637.48,4448.761
67,2023-03-16 04:57:00,1637.48,1640.32,1637.48,1640.29,3780.301
